step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput,error
infer_batch_0000_1_linear,62.510948,0.0,2164953088,412647424,0.0,0.0,0.015997,
infer_batch_0000_2_attention,141.752171,0.0,3278741504,1113788416,0.0,0.0,0.007055,
infer_batch_0000_3_leakyrelu,112.30895,0.0,4286324736,1007583232,0.0,0.0,0.008904,
infer_batch_0000_4_bootstrap_after_pack,1271.801483,0.0,4314931200,28606464,0.0,0.0,0.000786,
infer_batch_0000_fhe_output_bootstrap,1234.847257,0.0,3528663040,-539025408,0.0,0.0,0.00081,
infer_batch_0000_fhe_infer_bootstrap_weights,44.349605,0.0,1752305664,68050944,6.033773566093823,267.59547220981085,0.022548,
infer_batch_0000_fhe_infer_forward,1869.572483,0.0,4067688448,2315382784,6.033631983223295,11280.312331218762,0.000535,
infer_batch_0000_fhe_infer_bootstrap_output,1234.855913,0.0,3528663040,-539025408,6.033631983223295,7450.666130456133,0.00081,
infer_batch_0001_1_linear,62.193197,0.0,2164629504,411873280,0.0,0.0,0.016079,
infer_batch_0001_2_attention,143.797666,0.0,3278520320,1113890816,0.0,0.0,0.006954,
infer_batch_0001_3_leakyrelu,111.926351,0.0,4285980672,1007460352,0.0,0.0,0.008934,
infer_batch_0001_4_bootstrap_after_pack,1249.920438,0.0,4314554368,28573696,0.0,0.0,0.0008,
infer_batch_0001_fhe_output_bootstrap,1246.303545,0.0,3529199616,-538124288,0.0,0.0,0.000802,
infer_batch_0001_fhe_infer_bootstrap_weights,44.109071,0.0,1752756224,68730880,6.033773566093823,266.1441459671929,0.022671,
infer_batch_0001_fhe_infer_forward,1845.223594,0.0,4067323904,2314567680,6.033773566093823,11133.661347453459,0.000542,
infer_batch_0001_fhe_infer_bootstrap_output,1246.312235,0.0,3529199616,-538124288,6.033773566093823,7519.965817664833,0.000802,
infer_batch_0002_1_linear,63.568901,0.0,2164289536,417746944,0.0,0.0,0.015731,
infer_batch_0002_2_attention,144.895651,0.0,3278147584,1113858048,0.0,0.0,0.006902,
infer_batch_0002_3_leakyrelu,114.727385,0.0,4285734912,1007587328,0.0,0.0,0.008716,
infer_batch_0002_4_bootstrap_after_pack,1262.524183,0.0,4314386432,28651520,0.0,0.0,0.000792,
infer_batch_0002_fhe_output_bootstrap,1242.804115,0.0,3498627072,-530501632,0.0,0.0,0.000805,
infer_batch_0002_fhe_infer_bootstrap_weights,44.630611,0.0,1746542592,62722048,6.033773566093823,269.2910004861744,0.022406,
infer_batch_0002_fhe_infer_forward,1864.092112,0.0,4029128704,2282586112,6.033773566093823,11247.509711453033,0.000536,
infer_batch_0002_fhe_infer_bootstrap_output,1242.812811,0.0,3498627072,-530501632,6.033631983223295,7498.675122900128,0.000805,
infer_batch_0003_1_linear,20.952879,0.0,1660612608,166252544,0.0,0.0,0.047726,
infer_batch_0003_2_attention,49.066322,0.0,2034405376,373792768,0.0,0.0,0.020381,
infer_batch_0003_3_leakyrelu,38.165092,0.0,2380935168,346529792,0.0,0.0,0.026202,
infer_batch_0003_4_bootstrap_after_pack,420.039548,0.0,2426589184,45654016,0.0,0.0,0.002381,
infer_batch_0003_fhe_output_bootstrap,432.992238,0.0,2224427008,10604544,0.0,0.0,0.00231,
infer_batch_0003_fhe_infer_bootstrap_weights,44.152357,0.0,1494360064,62590976,6.033773566093823,266.40532253199035,0.022649,
infer_batch_0003_fhe_infer_forward,622.702448,0.0,2213822464,719462400,6.033631983223295,3757.1574048362068,0.001606,
infer_batch_0003_fhe_infer_bootstrap_output,432.99926,0.0,2224427008,10604544,6.033773566093823,2612.6194910329846,0.002309,
