step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput
infer_batch_0_1_linear,6.041089,0.0,2897489920,287215616,0.0,0.0,0.165533
infer_batch_0_2_attention,5.826633,0.0,3148783616,251293696,0.0,0.0,0.171626
infer_batch_0_3_leakyrelu,2.800031,0.0,3168825344,20041728,0.0,0.0,0.357139
infer_batch_0_4_bootstrap_after_pack,93.18606,0.0,3198406656,29581312,0.0,0.0,0.010731
infer_batch_0_fhe_output_bootstrap,92.728337,0.0,3165896704,0,0.0,0.0,0.010784
infer_batch_0_fhe_infer_bootstrap_weights,5.056877,0.0,2610274304,307200,1.2,6.068252414400104,0.197751
infer_batch_0_fhe_infer_forward,213.926802,0.0,3165896704,555622400,1.2,256.7121622475999,0.004674
infer_batch_0_fhe_infer_bootstrap_output,92.72959,0.0,3165896704,0,1.2,111.27550792679985,0.010784
infer_batch_1_1_linear,5.137528,0.0,3165900800,0,0.0,0.0,0.194646
infer_batch_1_2_attention,5.009498,0.0,3163541504,-2359296,0.0,0.0,0.199621
infer_batch_1_3_leakyrelu,2.822967,0.0,3182682112,19140608,0.0,0.0,0.354237
infer_batch_1_4_bootstrap_after_pack,95.320637,0.0,3209682944,27000832,0.0,0.0,0.010491
infer_batch_1_fhe_output_bootstrap,94.19598,0.0,3235115008,0,0.0,0.0,0.010616
infer_batch_1_fhe_infer_bootstrap_weights,4.924067,0.0,3165900800,0,1.2,5.908880982000028,0.203084
infer_batch_1_fhe_infer_forward,216.134593,0.0,3235115008,69214208,1.2,259.36151106359995,0.004627
infer_batch_1_fhe_infer_bootstrap_output,94.19745,0.0,3235115008,0,1.2,113.03694002999983,0.010616
