# FHE Server metrics (mini-batch training)
step,seconds,rss_delta_bytes,rss_after_bytes,encrypted,energy_joules,power_watts
batch_0_1_linear,71.290688,0,6071664640,1,0.000000,0.000000
batch_0_2_attention,40.808541,0,6071664640,1,0.000000,0.000000
batch_0_3_leakyrelu,63.551404,0,6071664640,1,0.000000,0.000000
batch_0_epoch_1_forward_backward_stream,696.166611,2855829504,6210396160,1,0.000000,0.000000
batch_0_epoch_1_weight_update,0.142680,0,6210396160,1,0.000000,0.000000
batch_0_epoch_1_bootstrap_weights,30.228525,0,6210396160,1,0.000000,0.000000
batch_0_epoch_2_forward_backward_stream,338.545548,-62427136,6147969024,1,0.000000,0.000000
batch_0_epoch_2_weight_update,0.129498,-33951744,6114017280,1,0.000000,0.000000
batch_0_epoch_2_bootstrap_weights,29.512632,0,6114017280,1,0.000000,0.000000
batch_0_epoch_3_forward_backward_stream,337.950594,0,6114017280,1,0.000000,0.000000
batch_0_epoch_3_weight_update,0.130502,-42352640,6071664640,1,0.000000,0.000000
batch_0_epoch_3_bootstrap_weights,30.740918,0,6071664640,1,0.000000,0.000000
batch_0_fhe_output_bootstrap,30.087207,0,6071664640,1,0.000000,0.000000
batch_1_1_linear,70.211221,0,5740908544,1,0.000000,0.000000
batch_1_2_attention,17.241286,0,5740908544,1,0.000000,0.000000
batch_1_3_leakyrelu,26.565497,0,5740908544,1,0.000000,0.000000
batch_1_epoch_1_forward_backward_stream,193.918872,-184455168,5719019520,1,0.000000,0.000000
batch_1_epoch_1_weight_update,0.113042,0,5719019520,1,0.000000,0.000000
batch_1_epoch_1_bootstrap_weights,30.030708,0,5719019520,1,0.000000,0.000000
batch_1_epoch_2_forward_backward_stream,190.194530,21889024,5740908544,1,0.000000,0.000000
batch_1_epoch_2_weight_update,0.110871,0,5740908544,1,0.000000,0.000000
batch_1_epoch_2_bootstrap_weights,29.920884,0,5740908544,1,0.000000,0.000000
batch_1_epoch_3_forward_backward_stream,190.607525,0,5740908544,1,0.000000,0.000000
batch_1_epoch_3_weight_update,0.112302,0,5740908544,1,0.000000,0.000000
batch_1_epoch_3_bootstrap_weights,29.914220,0,5740908544,1,0.000000,0.000000
batch_1_fhe_output_bootstrap,30.076306,0,5740908544,1,0.000000,0.000000
