step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput
train_batch_0000_1_linear,32.969024,0.0,4577697792,0,0.0,0.0,0.030332
train_batch_0000_2_attention,71.70401,0.0,4577697792,0,0.0,0.0,0.013946
train_batch_0000_3_leakyrelu,58.168264,0.0,4577697792,0,0.0,0.0,0.017192
train_batch_0000_4_bootstrap_after_pack,1246.61871,0.0,4572475392,-5222400,0.0,0.0,0.000802
train_batch_0000_epoch_1_forward_backward_stream,2004.905084,0.0,4453195776,2390376448,0.0,0.0,0.000499
train_batch_0000_epoch_1_weight_update,0.266101,0.0,4453195776,0,0.0,0.0,3.757967
train_batch_0000_epoch_1_bootstrap_weights,41.472364,0.0,4203712512,-249483264,0.0,0.0,0.024112
train_batch_0000_epoch_2_forward_backward_stream,1668.013214,0.0,4323946496,120233984,0.0,0.0,0.0006
train_batch_0000_epoch_2_weight_update,0.215076,0.0,4323946496,0,0.0,0.0,4.649524
train_batch_0000_epoch_2_bootstrap_weights,41.278124,0.0,4354617344,30670848,0.0,0.0,0.024226
train_batch_0000_epoch_3_forward_backward_stream,1615.495732,0.0,4577697792,223080448,0.0,0.0,0.000619
train_batch_0000_epoch_3_weight_update,0.183984,0.0,4577697792,0,0.0,0.0,5.435259
train_batch_0000_epoch_3_bootstrap_weights,41.299218,0.0,4577697792,0,0.0,0.0,0.024214
train_batch_0000_fhe_output_bootstrap,41.347534,0.0,4503396352,-74321920,0.0,0.0,0.024185
train_batch_0001_1_linear,33.167493,0.0,3841974272,0,0.0,0.0,0.03015
train_batch_0001_2_attention,71.930065,0.0,3841974272,0,0.0,0.0,0.013902
train_batch_0001_3_leakyrelu,57.169172,0.0,3952074752,110100480,0.0,0.0,0.017492
train_batch_0001_4_bootstrap_after_pack,1230.50453,0.0,4081057792,128983040,0.0,0.0,0.000813
train_batch_0001_epoch_1_forward_backward_stream,1603.794237,0.0,3499651072,1441640448,0.0,0.0,0.000624
train_batch_0001_epoch_1_weight_update,0.185077,0.0,3499651072,0,0.0,0.0,5.403156
train_batch_0001_epoch_1_bootstrap_weights,40.985509,0.0,3437719552,-61931520,0.0,0.0,0.024399
train_batch_0001_epoch_2_forward_backward_stream,1612.735392,0.0,3878621184,440901632,0.0,0.0,0.00062
train_batch_0001_epoch_2_weight_update,0.186136,0.0,3878621184,0,0.0,0.0,5.372409
train_batch_0001_epoch_2_bootstrap_weights,41.257611,0.0,3811770368,-66850816,0.0,0.0,0.024238
train_batch_0001_epoch_3_forward_backward_stream,1605.930503,0.0,3888594944,76824576,0.0,0.0,0.000623
train_batch_0001_epoch_3_weight_update,0.182854,0.0,3888594944,0,0.0,0.0,5.468852
train_batch_0001_epoch_3_bootstrap_weights,40.696199,0.0,3841974272,-46620672,0.0,0.0,0.024572
train_batch_0001_fhe_output_bootstrap,41.566548,0.0,4020228096,0,0.0,0.0,0.024058
train_batch_0002_1_linear,33.470116,0.0,3884986368,0,0.0,0.0,0.029877
train_batch_0002_2_attention,72.759347,0.0,3884986368,0,0.0,0.0,0.013744
train_batch_0002_3_leakyrelu,58.032065,0.0,4024193024,139206656,0.0,0.0,0.017232
train_batch_0002_4_bootstrap_after_pack,1229.876783,0.0,4079874048,55681024,0.0,0.0,0.000813
train_batch_0002_epoch_1_forward_backward_stream,1593.068883,0.0,3707613184,1649545216,0.0,0.0,0.000628
train_batch_0002_epoch_1_weight_update,0.182715,0.0,3707613184,0,0.0,0.0,5.47301
train_batch_0002_epoch_1_bootstrap_weights,40.506724,0.0,3706892288,-720896,0.0,0.0,0.024687
train_batch_0002_epoch_2_forward_backward_stream,1618.537675,0.0,4085002240,378109952,0.0,0.0,0.000618
train_batch_0002_epoch_2_weight_update,0.196692,0.0,4085002240,0,0.0,0.0,5.084085
train_batch_0002_epoch_2_bootstrap_weights,40.648334,0.0,4085002240,0,0.0,0.0,0.024601
train_batch_0002_epoch_3_forward_backward_stream,1607.322309,0.0,4084994048,-8192,0.0,0.0,0.000622
train_batch_0002_epoch_3_weight_update,0.186473,0.0,4084994048,0,0.0,0.0,5.362701
train_batch_0002_epoch_3_bootstrap_weights,41.30052,0.0,3884986368,-200007680,0.0,0.0,0.024213
train_batch_0002_fhe_output_bootstrap,40.604298,0.0,4085116928,0,0.0,0.0,0.024628
train_batch_0003_1_linear,32.753629,0.0,3811725312,0,0.0,0.0,0.030531
train_batch_0003_2_attention,71.496087,0.0,3811725312,0,0.0,0.0,0.013987
train_batch_0003_3_leakyrelu,56.93969,0.0,3811725312,0,0.0,0.0,0.017562
train_batch_0003_4_bootstrap_after_pack,1222.939752,0.0,3873320960,61595648,0.0,0.0,0.000818
train_batch_0003_epoch_1_forward_backward_stream,1595.078008,0.0,3661803520,1603899392,0.0,0.0,0.000627
train_batch_0003_epoch_1_weight_update,0.186986,0.0,3661803520,0,0.0,0.0,5.347984
train_batch_0003_epoch_1_bootstrap_weights,40.566977,0.0,3661803520,0,0.0,0.0,0.024651
train_batch_0003_epoch_2_forward_backward_stream,1612.592886,0.0,3811581952,149778432,0.0,0.0,0.00062
train_batch_0003_epoch_2_weight_update,0.185603,0.0,3811581952,0,0.0,0.0,5.387835
train_batch_0003_epoch_2_bootstrap_weights,40.71176,0.0,3737251840,-74330112,0.0,0.0,0.024563
train_batch_0003_epoch_3_forward_backward_stream,1603.631591,0.0,3811725312,74473472,0.0,0.0,0.000624
train_batch_0003_epoch_3_weight_update,0.184728,0.0,3811725312,0,0.0,0.0,5.413376
train_batch_0003_epoch_3_bootstrap_weights,40.6808,0.0,3811725312,0,0.0,0.0,0.024582
train_batch_0003_fhe_output_bootstrap,40.903776,0.0,3811725312,0,0.0,0.0,0.024448
train_batch_0004_1_linear,32.787366,0.0,3811663872,0,0.0,0.0,0.0305
train_batch_0004_2_attention,72.078901,0.0,3811663872,0,0.0,0.0,0.013874
train_batch_0004_3_leakyrelu,58.008965,0.0,3811663872,0,0.0,0.0,0.017239
train_batch_0004_4_bootstrap_after_pack,1233.911192,0.0,3873570816,61906944,0.0,0.0,0.00081
train_batch_0004_epoch_1_forward_backward_stream,1609.589256,0.0,3663933440,1606135808,0.0,0.0,0.000621
train_batch_0004_epoch_1_weight_update,0.18728,0.0,3663933440,0,0.0,0.0,5.339605
